"title";"synopsis";"sourceId";"sources";"dateKind";"frenchReleaseDate";"year";"genres";"audienceRating";"audienceRatingCount";"pressRating";"score";"vodAvailable";"vodProviders";"releaseDate";"reReleaseDate";"duration";"directors";"actors";"countries";"pressRatingCount";"vodCountry";"vodCheckedAt"
"Quo Vadis";"Durant le règne de Néron, un patricien romain tombe amoureux d'une esclave chrétienne nommée Lygia, qui le convertit au christianisme.";"170375";"Allociné · juin 2026";"france";"1913-05-09 00:00:00";"1913";"Drame | Historique";"3.2";"7";"";"48.19157533706018";"";"";"1913-05-09 00:00:00";"";"94";"Enrico Guazzoni";"Amleto Novelli | Gustavo Serena | Carlo Cataneo";"Italie";"";"";""
"La Glu";"La Glu est la fille d'un modeste professeur de campagne. Pas jolie, mais pire, féline, ondoyante, capricieuse, hardie et provocante, elle attire les hommes par sa perversité et son charme étrange.";"22534";"Allociné · juin 2026";"france";"1913-11-07 00:00:00";"1913";"Comédie dramatique";"";"";"";"12.5";"";"";"1913-11-07 00:00:00";"";"95";"Albert Capellani";"Mistinguett | Paul Capellani | Henry Krauss";"France";"";"";""
"Spartacus";"Le gladiateur Spartacus, vendu comme esclave, se soulève contre la République romaine.";"247464";"Allociné · juin 2026";"france";"1913-12-19 00:00:00";"1913";"Péplum";"";"";"";"12.5";"";"";"1913-12-19 00:00:00";"";"90";"Giovanni Enrico Vidali";"Mario Guaita-Ausonia | Cristina Ruspoli | Enrico Bracci";"Italie";"";"";""
"Les Bretelles";"";"8605";"Allociné · juin 2026";"france";"1913-03-21 00:00:00";"1913";"Comédie";"";"";"";"12.5";"";"";"1913-03-21 00:00:00";"";"15";"Léonce Perret";"Léonce Perret | Suzanne Grandais | Émile Keppens";"France";"";"";""
"Les Vampires";"Les Vampires, une société secrète, terrorise Paris en multipliant enlèvements, vols et assassinats. La police est dépassée et seul le journaliste Guérande, aidé de Mazamette, tente de mettre hors d'état de nuire ces dangereux criminels.";"1456";"Allociné · juin 2026";"france";"1915-11-13 00:00:00";"1915";"Policier";"3.8";"64";"";"51.942674152838045";"";"";"1915-11-13 00:00:00";"";"600";"Louis Feuillade";"Musidora | Édouard Mathé | Jean Aymé";"France";"";"";""
"Suzanne";"Suzanne, surveillée par son père, rencontre le prince Mikael de Sylvanie. Le prince et Suzanne tombent amoureux, mais le prince est rappelé à ses devoirs et sommé d'épouser une princesse.";"216102";"Allociné · juin 2026";"france";"1916-09-03 00:00:00";"1916";"Comédie";"";"";"";"12.5";"";"";"1916-09-03 00:00:00";"";"82";"Louis Mercanton | René Hervil";"Suzanne Grandais | Jean Signoret | Georges Tréville";"France";"";"";""
"Les Travailleurs de la mer";"A Guernesey, le pêcheur Gilliatt est amoureux de Déruchette, nièce de l'armateur Mess Lethierry. Un jour, Rantaine, l'associé de l'armateur, part avec l'argent de celui-ci. Sieur Clubin, le capitaine du bateau sur lequel il embarque, provoque un naufrage pour s'approprier le butin. Gilliatt, se rend sur les lieux de la catastrophe pour récupérer le moteur du bateau...";"49598";"Allociné · juin 2026";"france";"1918-05-30 00:00:00";"1918";"Divers";"3.2";"4";"";"48.1134477025523";"";"";"1918-05-30 00:00:00";"";"95";"Andre Antoine | Léonard Antoine";"Romuald Joube | Andree Brabant | Charles Mosnier";"";"";"";""
"Intolérance";"A travers l'image d'une femme berçant un enfant, quatre épisodes de l'intolérance sont racontés dans une fresque monumentale. Un épisode moderne sur un gréviste condamné à la pendaison. Un épisode biblique lors d'une noce à Cana. Un épisode des guerres de religion au temps de Charles IX. Un épisode chaldeen. Dans tous l'intolérance l'emporte sur l'amour.";"1967";"Allociné historique | Allociné · juin 2026";"original";"1919-05-12 00:00:00";"1919";"Drame | Historique";"3.8";"298";"";"55.56281045493829";"";"";"1919-05-12";"";"180";"D.W. Griffith";"Robert Harron | Mae Marsh | Miriam Cooper";"américain";"";"";""
"Le Métis";"Une métisse - qui n'a hérité que des vices de sa double origine - prostituée et toxico, qu'un homme épouse malgré la mise en garde de son ami : « On peut prendre une métisse pour maîtresse, jamais pour épouse. » Elle a surpris ces mots, et pour se venger de cette humiliation, détruit les deux hommes : l'un se retrouve en prison, l'autre à l'asile des fous.";"57617";"Allociné · juin 2026";"france";"1919-04-03 00:00:00";"1919";"Drame";"";"";"";"12.5";"";"";"1919-04-03 00:00:00";"";"60";"Fritz Lang";"Carl de Vogt | Paul Morgan | Carl-gerrard Schroder";"Allemagne";"";"";""
"La Poupée";"Le baron de Chanterelle, dépourvu de descendance, presse son neveu de se marier. Mais Lancelot, fuyant la horde des prétendantes convoquées par son oncle, se réfugie dans un monastère. Les moines voient dans le jeune homme un bon moyen de renflouer les caisses de la communauté : puisque son oncle lui promet une belle dot s'il prend femme, ils lui suggèrent un mariage fictif avec une poupée mécanique.";"6045";"Allociné · juin 2026";"france";"1919-12-05 00:00:00";"1919";"Comédie | Fantastique";"3.4";"14";"";"48.652618956714385";"";"";"1919-12-05 00:00:00";"";"66";"Ernst Lubitsch";"Ossi Oswalda | Hermann Thimig | Victor Janson";"Allemagne";"";"";""
